id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find milk?,milk,milk,move,[1],I'm adding Milk (1L) and Milk (2L) to your cart — you'll find them in Aisle 1!,TRUE,TRUE,FALSE,[],13.036
1,llm_only,direct,Where can I find milk?,milk,,move,[1],"You’ll find our milk selection in **Aisle 1**, under the dairy section. We have 1-liter and 2-liter options—just let me ",TRUE,TRUE,FALSE,[],1.292
2,presearch,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],Absolutely! I’ve found some delicious cheddar cheese for you—it’s in stock and ready to go!,TRUE,TRUE,FALSE,[],1.577
2,llm_only,direct,Do you have cheddar cheese?,cheese,,move,[1],"Yes, we have cheddar cheese! It’s in Aisle 1 under the dairy section.",TRUE,TRUE,FALSE,[],0.862
3,presearch,direct,I need some apples please,apple,apple,move,[3],Great choice! I'm adding fresh apples to your cart — you'll find them in Aisle 3. They're just $1.00 each and we have 30,TRUE,TRUE,FALSE,[],1.749
3,llm_only,direct,I need some apples please,apple,,move,[3],Sure! We have apples in stock—just $1.00 each. They’re in Aisle 3 with the other fruits.,TRUE,TRUE,FALSE,[],0.947
4,presearch,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],Absolutely! I'm adding the white bread to your cart — you'll find it in Aisle 2!,TRUE,TRUE,FALSE,[],1.537
4,llm_only,direct,Can I get a loaf of white bread?,bread,,move,[2],Sure! We have white bread in stock—it’s $2.00 per loaf. You can find it in Aisle 2.,TRUE,TRUE,FALSE,[],0.906
5,presearch,direct,I would like some orange juice,juice,orange juice,move,[4],Great choice! I'm adding the orange juice to your cart — you'll find it in Aisle 4!,TRUE,TRUE,FALSE,[],1.573
5,llm_only,direct,I would like some orange juice,juice,,move,[4],Great choice! We have orange juice in the beverages aisle—just head to Aisle 4. It’s available in both juice boxes and l,TRUE,TRUE,FALSE,[],0.96
6,presearch,direct,Where are the potato chips?,chips,potato chips,move,[5],Great choice! I'm adding Potato Chips to your cart — you'll find them in Aisle 5!,TRUE,TRUE,FALSE,[],1.55
6,llm_only,direct,Where are the potato chips?,chips,,move,[5],The potato chips are in Aisle 5—just follow the snacks section! Let me know if you'd like me to grab them for you.,TRUE,TRUE,FALSE,[],0.916
7,presearch,direct,Can you help me find bottled water?,water,bottled water,move,[4],Absolutely! I've found bottled water for you — I'm adding it to your cart. You'll find it in **Aisle 4**!,TRUE,TRUE,FALSE,[],2.88
7,llm_only,direct,Can you help me find bottled water?,water,,move,[4],Sure! Bottled water is in Aisle 4—just follow the beverages section. We have it for $1.50 per bottle.,TRUE,TRUE,FALSE,[],0.921
8,presearch,direct,I need a banana,banana,banana,move,[3],I've found some bananas for you! I'm adding Banana to your cart — you'll find them in Aisle 3.,TRUE,TRUE,FALSE,[],1.567
8,llm_only,direct,I need a banana,banana,,move,[3],"Sure! Bananas are in Aisle 3, and they're priced at $0.60 each. Would you like me to grab one for you?",TRUE,TRUE,FALSE,[],0.927
9,presearch,direct,Do you sell croissants?,croissant,flour; butter; yeast; sugar; salt; water; milk,move,[4],"I'm sorry, we don’t carry croissants here. However, I can add Bottled Water to your cart—you’ll find it in Aisle 4!",TRUE,TRUE,FALSE,[],1.941
9,llm_only,direct,Do you sell croissants?,croissant,,move,[2],"Yes, we do! We have croissants in the bakery section—just head to Aisle 2.",TRUE,TRUE,FALSE,[],2.568
10,presearch,direct,I am looking for plain yogurt,yogurt,plain yogurt,move,[1],Great choice! I'm adding the **Plain Yogurt** to your cart — you'll find it in **Aisle 1**!,TRUE,TRUE,FALSE,[],2.418
10,llm_only,direct,I am looking for plain yogurt,yogurt,,move,[1],We have plain yogurt right here in stock! It’s in Aisle 1 under the dairy section—just follow the signs for dairy produc,TRUE,TRUE,FALSE,[],0.916
11,presearch,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk; vanilla extract; lemon juice; food coloring,move,[1],"I'm adding Milk (1L) to your cart — you'll find it in Aisle 1! Unfortunately, we don’t carry flour, eggs, sugar, butter,",TRUE,TRUE,FALSE,[],1.945
11,llm_only,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,,none,[],"Great choice! For baking a birthday cake, you’ll need flour, sugar, eggs, and baking powder—those are in our baking aisl",TRUE,FALSE,FALSE,[],1.07
12,presearch,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; carrot; onion; olive oil; vinegar; cheese; feta; balsamic,move,"[3, 1]","Great choice! I’m adding **lettuce (Aisle 3)**, **tomatoes (Aisle 3)**, and **carrots (Aisle 3)** to your cart for your ",TRUE,TRUE,FALSE,[],2.206
12,llm_only,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,,move,[3],"Great choice! For a salad, you’ll want fresh veggies like lettuce, tomatoes, carrots, and maybe some grapes or apples fo",TRUE,TRUE,FALSE,[],1.025
13,presearch,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,banana; strawberry; blueberry; mango; pineapple; apple; orange; yogurt; milk; honey; ice,move,"[3, 4]","Absolutely! I'm adding Banana (Aisle 3), Apple (Aisle 3), and Orange (Aisle 3) to your cart for your smoothie. You’ll al",TRUE,TRUE,FALSE,[],4.385
13,llm_only,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,,move,[3],"Absolutely! For a fruit smoothie, you’ll want bananas, apples, oranges, and maybe some grapes or berries (though we don’",TRUE,TRUE,FALSE,[],1.041
14,presearch,recipe,"I want to make breakfast, what do you have?",bread; milk; yogurt,eggs; bacon; sausage; pancakes; syrup; butter; jam; toast; cereal; milk; coffee; tea; juice,move,"[1, 4]","Great for breakfast! I'm adding Milk (1L) to your cart — you'll find it in Aisle 1, and Coffee Beans in Aisle 4. Unfortu",TRUE,TRUE,FALSE,[],2.137
14,llm_only,recipe,"I want to make breakfast, what do you have?",bread; milk; yogurt,,move,"[1, 2, 3, 4]","Great choice! For breakfast, you might want to check out our dairy section in **Aisle 1** for milk, yogurt, or cheese, o",TRUE,TRUE,FALSE,[],1.276
15,presearch,recipe,What do I need to make a cheese sandwich?,bread; cheese,bread; cheese; butter; mayonnaise; lettuce; tomato; ham,move,"[1, 2, 3]","For your cheese sandwich, I'm adding Wheat Bread (Aisle 2) and Cheddar Cheese (Aisle 1) to your cart! You’ll also find L",TRUE,TRUE,FALSE,[],1.995
15,llm_only,recipe,What do I need to make a cheese sandwich?,bread; cheese,,move,"[1, 2]","For a cheese sandwich, you’ll want our **Cheddar Cheese** (in **Aisle 1**) and either **White Bread** or **Wheat Bread**",TRUE,TRUE,FALSE,[],1.237
16,presearch,associative,I'm hosting a party and need snacks and drinks,chips; cookies; soda; juice,chips; nuts; popcorn; pretzels; dips; cheese; crackers; water; soda; beer; wine; juice; sugar; lemon; ice,move,"[1, 4, 5]","Great for a party! I’m adding Potato Chips (Aisle 5), Mixed Nuts (Aisle 5), and Popcorn (Aisle 5) to your cart for snack",TRUE,TRUE,FALSE,[],2.376
16,llm_only,associative,I'm hosting a party and need snacks and drinks,chips; cookies; soda; juice,,move,"[5, 4]","Great for a party! We’ve got plenty of snacks like chips, cookies, nuts, granola bars, and popcorn—all in Aisle 5. For d",TRUE,TRUE,FALSE,[],1.121
17,presearch,associative,I want something healthy for my lunch,apple; carrot; water,,move,"[3, 7, 12]","Great choice! We have plenty of healthy options—how about some fresh salads, grilled chicken, or quinoa bowls? I can als",TRUE,TRUE,TRUE,"[7, 12]",1.917
17,llm_only,associative,I want something healthy for my lunch,apple; carrot; water,,move,"[1, 2, 3]","Great choice! For a healthy lunch, I’d recommend grabbing some fresh veggies like carrots, broccoli, or lettuce from **A",TRUE,TRUE,FALSE,[],1.328
18,presearch,associative,I need something sweet to snack on,cookies; donut; granola,,move,"[7, 12]","Oh, we’ve got some great sweet snack options! How about trying our chocolate-covered pretzels or the honeycomb granola b",TRUE,TRUE,TRUE,"[7, 12]",4.898
18,llm_only,associative,I need something sweet to snack on,cookies; donut; granola,,move,[5],"Oh, I’ve got some great sweet snack options for you! We have glazed donuts, chocolate cookies, granola bars, and even mi",TRUE,TRUE,FALSE,[],1.018
19,presearch,associative,"I am going on a hike, what should I take?",water; nuts; granola,,move,"[12, 15]","Great for hiking! You’ll want snacks like trail mix or energy bars, plenty of water, and maybe some electrolyte tablets.",TRUE,TRUE,TRUE,"[12, 15]",1.823
19,llm_only,associative,"I am going on a hike, what should I take?",water; nuts; granola,,move,"[3, 4]","Great choice for a hike! I’d recommend grabbing some energy-boosting snacks like mixed nuts, granola bars, or fruit like",TRUE,TRUE,FALSE,[],1.147
20,presearch,associative,I want to make a hot beverage this morning,coffee; milk,coffee; tea; sugar; milk; water; lemon; cream,move,"[4, 1]","Great choice! I'm adding Coffee Beans to your cart — you'll find them in Aisle 4, and I'll grab Milk (1L) from Aisle 1 a",TRUE,TRUE,FALSE,[],2.48
20,llm_only,associative,I want to make a hot beverage this morning,coffee; milk,,move,[4],"Great choice! For a hot beverage, you’ll want our **coffee beans**—they’re fresh and perfect for brewing at home. You ca",TRUE,TRUE,FALSE,[],1.024
21,presearch,not_in_store,Do you carry sushi ingredients?,,rice; nori; fish; avocado; cucumber; carrot; soy sauce; sesame seeds; ginger; green onion,move,[3],"We do carry carrots—great for sushi rolls! I'm adding them to your cart—you'll find them in **Aisle 3**. Unfortunately, ",TRUE,FALSE,FALSE,[],1.969
21,llm_only,not_in_store,Do you carry sushi ingredients?,,,move,"[3, 5]","We don’t carry fresh sushi ingredients like raw fish or rice, but we do have some great snacks and sides that pair well ",TRUE,FALSE,FALSE,[],1.285
22,presearch,not_in_store,Where can I find dog food?,,,move,[12],Sure! Our dog food is in the pet supplies section—just head to aisle 12 for a great selection of brands and sizes. Let m,TRUE,FALSE,TRUE,[12],1.633
22,llm_only,not_in_store,Where can I find dog food?,,,none,[],"I'm sorry, we don’t currently carry dog food in our inventory. However, I’d be happy to help you find something else—may",TRUE,TRUE,FALSE,[],0.999
23,presearch,not_in_store,I need some fresh salmon,,salmon,none,[],"I’m sorry, we don’t currently carry fresh salmon. Is there another type of fish or protein you’d like to try?",TRUE,TRUE,FALSE,[],1.51
23,llm_only,not_in_store,I need some fresh salmon,,,none,[],"I'm sorry, we don’t currently carry fresh salmon in our store. However, I can help you find other great options like our",TRUE,TRUE,FALSE,[],0.959
24,presearch,not_in_store,Do you sell pasta?,,pasta; tomato sauce; garlic; onion; olive oil; cheese; ground beef; carrots; celery; spinach; pasta water; butter; parmesan cheese; basil,none,[],"I'm sorry, we don’t carry pasta right now.",TRUE,TRUE,FALSE,[],2.643
24,llm_only,not_in_store,Do you sell pasta?,,,none,[],"We don’t currently carry pasta in our store, but we have a great selection of snacks like chips, cookies, and granola ba",TRUE,TRUE,FALSE,[],0.952
25,presearch,not_in_store,Can I get some ice cream?,,ice cream,none,[],"We don’t currently carry ice cream, I’m sorry! Let me know if you’d like something else.",TRUE,TRUE,FALSE,[],2.784
25,llm_only,not_in_store,Can I get some ice cream?,,,none,[],"Oh, I’m sorry, we don’t have ice cream available in our current inventory today. Would you like something else from our ",TRUE,TRUE,FALSE,[],0.985
26,presearch,conversational,"Hello there, how are you today?",,,none,[],"Hello! I'm doing great, thank you for asking. How can I help you today? Maybe you're looking for something specific or j",TRUE,TRUE,FALSE,[],1.777
,,,,,,,,,,,,,
26,llm_only,conversational,"Hello there, how are you today?",,,none,[],"Hello! I'm doing great, thanks for asking. How can I help you today? Maybe you're looking for something specific or just",TRUE,TRUE,FALSE,[],0.936
27,presearch,conversational,What can you help me with?,,,none,[],"Hi there! I’m happy to help—whether you're looking for a specific item, need directions to an aisle, or want to add thin",TRUE,TRUE,FALSE,[],1.7
,,,,,,,,,,,,,
27,llm_only,conversational,What can you help me with?,,,none,[],"Hi there! I’m happy to help—whether you're looking for groceries, snacks, or specific items, just let me know what you n",TRUE,TRUE,FALSE,[],2.516
28,presearch,conversational,What are your opening hours?,,,none,[],"We're open from **7:00 AM to 11:00 PM every day**, including weekends! Let me know if you'd like help finding anything s",TRUE,TRUE,FALSE,[],1.714
,,,,,,,,,,,,,
28,llm_only,conversational,What are your opening hours?,,,none,[],We're open every day from 7:00 AM to 11:00 PM! That gives you plenty of time to shop—let me know if you need help findin,TRUE,TRUE,FALSE,[],0.934
29,presearch,conversational,Hi! I'm new here. Can you explain how this store works?,,,none,[],"Welcome! We’re happy to have you. Our store is organized by categories—produce is at the back, dairy and bakery on the l",TRUE,TRUE,FALSE,[],2.079
,,,,,,,,,,,,,
