id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,semantic,direct,Where can I find milk?,milk,milk,move,[1],"You can find our milk options in **Aisle 1**: we have Milk (2L), Milk (1L), and Plain Yogurt.",True,True,False,[],15.947
2,semantic,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],Yes! We have cheddar cheese available—it’s in **Aisle 1**.,True,True,False,[],1.624
3,semantic,direct,I need some apples please,apple,apple,move,"[3, 4]","Sure! We have fresh apples in **Aisle 3** and apple juice in **Aisle 4**. Would you like both, or just one?",True,True,False,[],1.802
4,semantic,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],We have white bread available! You can find it in Aisle 2 (White Bread).,True,True,False,[],1.628
5,semantic,direct,I would like some orange juice,juice,orange juice,move,[4],We have two options for you: **Orange Juice (Aisle 4)** and **Apple Juice (Aisle 4)**—both are in Aisle 4. Would you lik,True,True,False,[],1.874
6,semantic,direct,Where are the potato chips?,chips,potato chips,move,[5],The potato chips are in **Aisle 5**!,True,True,False,[],2.424
7,semantic,direct,Can you help me find bottled water?,water,bottled water,move,[4],Sure! We have bottled water available—just head to **Aisle 4**.,True,True,False,[],1.624
8,semantic,direct,I need a banana,banana,banana,move,[3],You can find bananas in **Aisle 3**—just head over there!,True,True,False,[],1.692
9,semantic,direct,Do you sell croissants?,croissant,croissant; sell; croissants,move,[2],Yes! We do carry croissants—you’ll find them in **Aisle 2**.,True,True,False,[],9.489
10,semantic,direct,I am looking for plain yogurt,yogurt,plain yogurt,move,[1],You’ll find our **Plain Yogurt** in **Aisle 1**—just grab it from there!,True,True,False,[],1.649
11,semantic,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk; vanilla extract; food coloring,move,[1],"For a birthday cake, you’ll need flour, eggs, sugar, butter, baking powder, milk (2L or 1L), and vanilla extract—all ava",True,True,False,[],2.713
12,semantic,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; carrot; onion; olive oil; vinegar; cheese; croutons; herbs,move,"[3, 1]","For your salad, you’ll need lettuce, tomato, cucumber, carrot, onion, olive oil, vinegar, and croutons—all in **Aisle 3*",True,True,False,[],3.105
