id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,llm_only,direct,Where can I find milk?,milk,,move,['Aisle 3'],The milk is located in Aisle 3.,True,True,False,[],644.599
2,llm_only,direct,Do you have cheddar cheese?,cheese,,move,['D-5'],"Of course! You'll find our cheddar cheese in the dairy section, aisle number D-5.",True,True,False,[],58.811
3,llm_only,direct,I need some apples please,apple,,move,['5'],"Certainly, I can help you find some apples. They're usually located in the produce section, aisle 5.",True,True,False,[],57.523
4,llm_only,direct,Can I get a loaf of white bread?,bread,,move,['Aisle 3'],Of course! White bread is located in Aisle 3.,True,True,False,[],51.516
5,llm_only,direct,I would like some orange juice,juice,,move,['Aisle 3'],"Of course! You'll find our orange juice in Aisle 3, next to the beverages section.",True,True,False,[],57.506
6,llm_only,direct,Where are the potato chips?,chips,,move,['7'],The potato chips are located in aisle number 7.,True,True,True,[7],52.896
7,llm_only,direct,Can you help me find bottled water?,water,,move,['Aisle 3'],"Of course! Bottled water is usually located in Aisle 3, near the beverages section. I can help you find it if you need a",True,True,False,[],64.055
8,llm_only,direct,I need a banana,banana,,move,['Aisle 5'],Certainly! Bananas are located in Aisle 5.,True,True,False,[],52.791
9,llm_only,direct,Do you sell croissants?,croissant,,move,['bakery'],"Yes, we sell croissants. You can find them in the bakery section.",True,True,False,[],55.315
10,llm_only,direct,I am looking for plain yogurt,yogurt,,move,['Aisle 4'],"The plain yogurt is usually located in Aisle 4, dairy section. Let me know if you need help finding anything else!",True,True,False,[],59.608
11,llm_only,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,,move,['baking'],"Great! For a birthday cake, you'll need flour, baking powder, sugar, eggs, butter, and vanilla extract. Also, don't forg",True,True,False,[],74.317
12,llm_only,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,,move,['produce'],"Of course! I can help you find items for your salad. We have a variety of lettuce, vegetables like cucumbers and tomatoe",True,True,False,[],73.153
13,llm_only,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,,move,"['Aisle 3', 'Aisle 4']","Of course, I can help you find everything for a fruit smoothie! We have apples, bananas, oranges, and grapes in Aisle 3.",True,True,False,[],298.246
14,llm_only,recipe,"I want to make breakfast, what do you have?",bread; milk; yogurt,,move,"['Aisle 2', 'Aisle 3']","I can certainly help you find items for breakfast! We have various options such as bread, cheese, milk, yogurt, and past",True,True,False,[],106.052
15,llm_only,recipe,What do I need to make a cheese sandwich?,bread; cheese,,move,"['Aisle 1', 'Aisle 2']","To make a cheese sandwich, you'll need bread and cheddar cheese. You can find the bread in Aisle 2, and the cheddar chee",True,True,False,[],80.714
16,llm_only,associative,I'm hosting a party and need snacks and drinks,chips; cookies; soda; juice,,move,"['Aisle 5', 'Aisle 4']","I can definitely help you find some great snacks and drinks for your party! You'll find our snack selection in Aisle 5, ",True,True,False,[],92.595
17,llm_only,associative,I want something healthy for my lunch,apple; carrot; water,,move,"['Aisle 3', 'Aisle 2']","I can help you find some healthy lunch options! You might be interested in our fruits, vegetables or whole grain breads.",True,True,False,[],72.691
18,llm_only,associative,I need something sweet to snack on,cookies; donut; granola,,move,['Aisle 2'],"I can help you find something sweet for a snack. You might like our croissants, donuts or chocolate cookies located in A",True,True,False,[],64.809
19,llm_only,associative,"I am going on a hike, what should I take?",water; nuts; granola,,move,"[2, 3, 5]","On a hike, you'll want snacks like Potato Chips or Mixed Nuts, and some Water to stay hydrated. Don't forget fresh Fruit",True,True,False,[],102.637
20,llm_only,associative,I want to make a hot beverage this morning,coffee; milk,,move,['4'],"We have a variety of beverages that would work for a hot beverage, such as coffee beans or tea. You can find them in Ais",True,True,False,[],68.27
21,llm_only,not_in_store,Do you carry sushi ingredients?,,,move,"[1, 5]","Yes, we do carry sushi ingredients. You can find rice in Aisle 1 (category: grains), nori (seaweed sheets) and sushi rol",True,False,False,[],77.345
22,llm_only,not_in_store,Where can I find dog food?,,,move,['Aisle 6'],You can find our dog food selection over at Aisle 6.,True,False,True,[6],54.857
23,llm_only,not_in_store,I need some fresh salmon,,,move,['6'],"Our fresh salmon is located in the seafood section, Aisle 6.",True,False,True,[6],56.515
24,llm_only,not_in_store,Do you sell pasta?,,,move,['6'],"Yes, we do have pasta! You can find it in Aisle 6.",True,False,True,[6],57.112
25,llm_only,not_in_store,Can I get some ice cream?,,,none,[],"We don't seem to have ice cream here. You can find milk, cheese, yogurt, and a variety of bakery items in Aisle 1 though",True,True,False,[],66.911
26,llm_only,conversational,"Hello there, how are you today?",,,none,[],"Hello! I'm doing well, thank you. How can I help you find something today?",True,True,False,[],56.47
27,llm_only,conversational,What can you help me with?,,,none,[],"Hello! I can help you find products and add items to your cart. Would you like to start with something from our dairy, b",True,True,False,[],69.89
28,llm_only,conversational,What are your opening hours?,,,none,[],Our store is open from 8 AM to 10 PM. I'm here to help you find products and add items to your cart!,True,True,False,[],62.167
29,llm_only,conversational,Hi! I'm new here. Can you explain how this store works?,,,none,[],"Hello! I'm Alex, your helpful shop assistant. We have a wide variety of products here. You can find dairy items like mil",True,True,False,[],125.249
30,llm_only,conversational,Thank you for your help!,,,none,[],Feel free to ask for any help you need! I can guide you to find your desired products and add them to your cart.,True,True,False,[],60.294
31,llm_only,direct,I need milk and bananas,milk; banana,,move,"['1', '3']","You can find milk in Aisle 1, specifically the 1L or 2L containers. For bananas, they are located on Aisle 3.",True,True,False,[],67.209
32,llm_only,direct,Can you add apples and oranges to my cart?,apple; orange,,move,['Aisle 3'],Certainly! I'll add apples and oranges to your cart. You can find them in Aisle 3.,True,True,False,[],67.525
33,llm_only,direct,I would like broccoli and carrots,broccoli; carrot,,move,['Aisle 3'],Sure thing! You can find the broccoli in Aisle 3 and carrots next to it.,True,True,False,[],65.663
34,llm_only,direct,Please get me wheat bread and coffee,bread; coffee,,move,"['Aisle 2', 'Aisle 4']",I'd be happy to help you find wheat bread and coffee. You can find the wheat bread in Aisle 2 and coffee beans in Aisle ,True,True,False,[],69.892
35,llm_only,direct,Do you have grapes and granola bars?,grape; granola,,move,"['Aisle 3', 'Aisle 5']","Yes, we have grapes on Aisle 3 and granola bars on Aisle 5. I can help you find those or anything else you need.",True,True,False,[],74.107
36,llm_only,recipe,I need ingredients to bake chocolate chip cookies,flour; eggs; sugar; butter,,move,"[1, 3, 1, 1, 1, 2, 5]","To make chocolate chip cookies, you'll need flour, sugar, eggs, butter, baking powder, salt, and of course, chocolate ch",True,False,False,[],128.491
37,llm_only,recipe,What do I need to make a vegetable stir fry?,broccoli; carrot; lettuce,,move,['3'],"For a vegetable stir fry, you'll need broccoli, carrot, bell peppers, and your choice of onion. You can find these items",True,True,False,[],84.066
38,llm_only,recipe,"I want to make pancakes, what ingredients do you have?",flour; milk; eggs,,move,"['Aisle 1', 'Aisle 5']","To make pancakes, you'll need Flour, Eggs, Milk, and Baking Powder. You can find them in Aisle 1 (Bakery) and Aisle 5 (S",True,True,False,[],82.292
39,llm_only,recipe,Help me find everything for a fruit salad,apple; banana; orange; grape,,move,['Aisle 3'],"I can help you find everything for a fruit salad! You'll want to head over to Aisle 3. There, you'll find Apples, Banana",True,True,False,[],82.334
40,llm_only,recipe,I need to bake banana bread,banana; flour; eggs,,move,"['3', '1', '2']","To bake banana bread, you'll need ripe bananas and some flour, sugar, eggs, baking powder, and butter. You can find the ",True,True,False,[],90.32
41,llm_only,associative,Something for my kids' lunchbox,apple; granola; yogurt; juice,,move,"['Aisle 2', 'Aisle 3', 'Aisle 5']","I can help you find some items for your kids' lunchbox. We have a variety of sandwiches like White Bread or Wheat Bread,",True,True,False,[],89.707
42,llm_only,associative,I want a healthy breakfast option,yogurt; granola; apple,,move,"['2', '3']","You can find a healthy breakfast option in our bakery section. I recommend White Bread, along with some fruits like Appl",True,True,False,[],63.231
43,llm_only,associative,What do you have for a movie night?,popcorn; soda; chips; cookies,,move,"['5', '4']","For a great movie night, we have some snacks like Popcorn, Potato Chips, Mixed Nuts, and Granola Bars. You can also grab",True,True,False,[],79.974
44,llm_only,associative,I need something for a late night snack,chips; cookies; nuts,,move,['5'],"I can suggest a couple of late night snacks for you. We have potato chips, chocolate cookies, mixed nuts and popcorn. Th",True,True,False,[],70.016
45,llm_only,associative,I'm trying to eat more vegetables this week,broccoli; carrot; tomato; lettuce,,move,['Aisle 3'],Great choice! I can show you some delicious vegetables we have here. You'll find them all in Aisle 3.,True,True,False,[],65.565
46,llm_only,not_in_store,Do you stock flour?,,,move,['Aisle 2'],"Flour is located in Aisle 2, among our bakery items.",True,False,False,[],56.635
47,llm_only,not_in_store,I need to find some eggs,,,move,['1'],"The eggs are located in Aisle 1, just next to the dairy products.",True,False,False,[],56.361
48,llm_only,not_in_store,Where is the butter?,,,move,['1'],"The butter is located in Aisle 1, next to the dairy products.",True,False,False,[],55.902
49,llm_only,direct,Can I get 2 litres of milk please?,milk,,move,['Aisle 1'],"Sure, I can help you with that. The 2L milk is located in Aisle 1.",True,True,False,[],64.784
50,llm_only,direct,I need cola and some mixed nuts,soda; nuts,,move,"['4', '5']","Great! The Cola is available in Aisle 4, and the Mixed Nuts are located on Aisle 5.",True,True,False,[],68.406
