id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,semantic,direct,Where can I find milk?,milk,milk,move,[1],"You can find milk in Aisle 1. We carry Milk (1L), Milk (2L), Plain Yogurt, and Cheddar Cheese.",True,True,False,[],43.563
2,semantic,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],"Yes, we have Cheddar Cheese in Aisle 1.",True,True,False,[],12.992
3,semantic,direct,I need some apples please,apple,apple,move,[3],We have apples in Aisle 3.,True,True,False,[],2.027
4,semantic,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],"Sure, we have white bread available in Aisle 2.",True,True,False,[],12.106
5,semantic,direct,I would like some orange juice,juice,orange juice,move,[4],I can help you with orange juice. We carry Orange Juice (Aisle 4) and Apple Juice (Aisle 4). Both are available in Aisle,True,True,False,[],1.805
6,semantic,direct,Where are the potato chips?,chips,potato chips,move,[5],The potato chips are in Aisle 5.,True,True,False,[],1.562
7,semantic,direct,Can you help me find bottled water?,water,bottled water,move,[4],We carry bottled water in Aisle 4. You can find it there.,True,True,False,[],1.753
8,semantic,direct,I need a banana,banana,banana,move,[3],We have bananas in Aisle 3.,True,True,False,[],1.65
9,semantic,direct,Do you sell croissants?,croissant,croissant,move,[2],"Yes, we sell croissants! They're in Aisle 2.",True,True,False,[],2.288
10,semantic,direct,I am looking for plain yogurt,yogurt,plain yogurt,move,[1],I found Plain Yogurt in Aisle 1. Let me know if you need anything else!,True,True,False,[],1.725
11,semantic,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk,move,[1],"To bake a birthday cake, you'll need flour, eggs, sugar, butter, baking powder, and milk. We carry all these items in Ai",True,True,False,[],13.926
12,semantic,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; olive oil; vinegar; salt; pepper,move,[3],"We have lettuce, tomato, cucumber, olive oil, vinegar, salt, and pepper in Aisle 3 to help you make a salad!",True,True,False,[],14.181
13,semantic,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,banana; strawberry; milk; ice; yogurt,move,"[1, 3]","Yes, I can help you with that! We have bananas, strawberries, and milk for your smoothie. You can find bananas and straw",True,True,False,[],2.524
14,semantic,recipe,"I want to make breakfast, what do you have?",bread; milk; yogurt,eggs; milk; bread; butter; sausage; bacon; cheese; fruit; yogurt,move,[1],"For breakfast, we have eggs, milk, bread, butter, sausage, bacon, cheese, fruit, and yogurt available. These items are a",True,True,False,[],13.591
15,semantic,recipe,What do I need to make a cheese sandwich?,bread; cheese,bread; cheese,move,"[1, 2]","To make a cheese sandwich, you'll need bread and cheese. We carry Wheat Bread (Aisle 2) and White Bread (Aisle 2), as we",True,True,False,[],13.245
16,semantic,associative,I'm hosting a party and need snacks and drinks,chips; cookies; soda; juice,snacks; drinks,move,"[4, 5]","For your party, we carry Potato Chips, Chocolate Cookies, Cola (2L), Popcorn, and Mixed Nuts. They are all in Aisles 4 a",True,True,False,[],2.038
17,semantic,associative,I want something healthy for my lunch,apple; carrot; water,apple; banana; orange; carrot; celery; yogurt,move,[3],"For a healthy lunch, we have apples, bananas, oranges, carrots, celery, and plain yogurt in Aisle 3.",True,True,False,[],3.181
18,semantic,associative,I need something sweet to snack on,cookies; donut; granola,sweet; snack,move,[5],"You can find sweet snacks like Chocolate Cookies, Potato Chips, Popcorn, Mixed Nuts, and Granola Bar in Aisle 5.",True,True,False,[],2.257
19,semantic,associative,"I am going on a hike, what should I take?",water; nuts; granola,water; snacks; first aid kit; map; compass; sunscreen; hat,move,[5],"For your hike, I recommend taking water, snacks, a first aid kit, a map, a compass, sunscreen, and a hat. Our potato chi",True,True,False,[],14.257
20,semantic,associative,I want to make a hot beverage this morning,coffee; milk,coffee; water; sugar,move,[4],I can help you make coffee or hot water. We have Coffee Beans and Bottled Water in Aisle 4.,True,True,False,[],2.153
21,semantic,not_in_store,Do you carry sushi ingredients?,,rice; seaweed; fish; avocado; cucumber; soy sauce; wasabi,none,[],"I'm sorry, but I couldn't find any sushi ingredients in our inventory. Could you please specify a particular ingredient ",True,True,False,[],2.895
22,semantic,not_in_store,Where can I find dog food?,,dog food,none,[],"I'm sorry, but I couldn't find any dog food in our inventory. Could you please provide a more specific product name or b",True,True,False,[],1.74
23,semantic,not_in_store,I need some fresh salmon,,salmon,none,[],"I'm sorry, but we currently do not have any fresh salmon in our inventory.",True,True,False,[],4.677
24,semantic,not_in_store,Do you sell pasta?,,pasta,none,[],We do not carry pasta in our store.,True,True,False,[],1.565
25,semantic,not_in_store,Can I get some ice cream?,,ice cream,none,[],"I'm sorry, but we don't carry any ice cream in the store. We do have milk products available in Aisle 1 if you'd like to",True,True,False,[],2.287
26,semantic,conversational,"Hello there, how are you today?",,hello; there; how; today,none,[],"I'm sorry, but I couldn't find any matching products for your request. Could you please provide a more specific product ",True,True,False,[],2.08
27,semantic,conversational,What can you help me with?,,what; help,none,[],I couldn't find any matching products for your request. Could you please provide a more specific product name or check t,True,True,False,[],1.873
28,semantic,conversational,What are your opening hours?,,what; opening; hours,none,[],"I'm sorry, but I couldn't find any matching products for your request. Could you please provide more details or a specif",True,True,False,[],2.063
29,semantic,conversational,Hi! I'm new here. Can you explain how this store works?,,new; here; explain; how; this; store; works,none,[],I couldn't find any products matching your request. Could you please provide a more specific product name or category yo,True,True,False,[],2.479
30,semantic,conversational,Thank you for your help!,,thank; help,none,[],Thank you for your help!,True,True,False,[],1.792
31,semantic,direct,I need milk and bananas,milk; banana,milk; banana,move,"[1, 3]",I found milk and bananas for you. The milk is in Aisle 1 and bananas are in Aisle 3.,True,True,False,[],1.971
32,semantic,direct,Can you add apples and oranges to my cart?,apple; orange,apple; orange,move,[3],I can add apples and oranges to your cart. Apples are in Aisle 3 and oranges are also in Aisle 3.,True,True,False,[],2.101
33,semantic,direct,I would like broccoli and carrots,broccoli; carrot,broccoli; carrot,move,[3],We have broccoli and carrots available in Aisle 3.,True,True,False,[],3.283
34,semantic,direct,Please get me wheat bread and coffee,bread; coffee,wheat bread; coffee,move,"[2, 4]",I found wheat bread in Aisle 2 and coffee in Aisle 4. Please check those aisles.,True,True,False,[],3.12
35,semantic,direct,Do you have grapes and granola bars?,grape; granola,grapes; granola bar,move,"[3, 5]",We have grapes in Aisle 3 and granola bars in Aisle 5.,True,True,False,[],2.646
36,semantic,recipe,I need ingredients to bake chocolate chip cookies,flour; eggs; sugar; butter,flour; sugar; butter; eggs; chocolate chips; baking soda; salt,move,[5],"We have all the ingredients for chocolate chip cookies: flour, sugar, butter, eggs, chocolate chips, baking soda, and sa",True,False,False,[],2.705
37,semantic,recipe,What do I need to make a vegetable stir fry?,broccoli; carrot; lettuce,vegetables; oil; soy sauce; ginger; garlic; sesame oil; pepper; salt,move,[3],"You'll need vegetables, oil, soy sauce, ginger, garlic, sesame oil, pepper, and salt. All these items are in Aisle 3.",True,True,False,[],2.831
38,semantic,recipe,"I want to make pancakes, what ingredients do you have?",flour; milk; eggs,flour; eggs; milk; butter; sugar; baking powder,move,[1],"We have milk, flour, eggs, butter, sugar, and baking powder for making pancakes.",True,True,False,[],2.415
39,semantic,recipe,Help me find everything for a fruit salad,apple; banana; orange; grape,fruit; sugar; vanilla extract; cinnamon; nuts; honey,move,"[3, 5]","For your fruit salad, we have grapes, orange, apple, banana, and mixed nuts available. Grapes, orange, apple, and banana",True,True,False,[],2.673
40,semantic,recipe,I need to bake banana bread,banana; flour; eggs,flour; eggs; sugar; milk; banana; baking powder; butter,move,"[1, 2, 3]","To bake banana bread, you'll need flour, eggs, sugar, milk, banana, baking powder, and butter. We carry these ingredient",True,True,False,[],2.883
41,semantic,associative,Something for my kids' lunchbox,apple; granola; yogurt; juice,apple; banana; orange; sandwich; juice,move,"[3, 4]","We have apples, bananas, oranges, sandwiches, and juices available for your kids' lunchbox. They are all in Aisle 3 and ",True,True,False,[],2.478
42,semantic,associative,I want a healthy breakfast option,yogurt; granola; apple,healthy; breakfast; option,none,[],I couldn't find a healthy breakfast option in our current inventory. Could you let me know if there's a specific product,True,False,False,[],2.083
43,semantic,associative,What do you have for a movie night?,popcorn; soda; chips; cookies,what; have; movie; night,none,[],"I'm sorry, but I couldn't find any items that match your request for a movie night. Could you please provide more specif",True,False,False,[],2.45
44,semantic,associative,I need something for a late night snack,chips; cookies; nuts,chips; dip,move,[5],"I found some options for a late night snack in Aisle 5: chips, chocolate cookies, popcorn, and granola bars.",True,True,False,[],2.686
45,semantic,associative,I'm trying to eat more vegetables this week,broccoli; carrot; tomato; lettuce,broccoli; carrot; spinach; tomato; lettuce; cucumber; onion; garlic; potato; zucchini,move,[3],"I can help you find some great vegetables! We have broccoli, carrot, tomato, and lettuce available in Aisle 3.",True,True,False,[],3.36
46,semantic,not_in_store,Do you stock flour?,,flour,move,[2],"Yes, we stock flour. It's in Aisle 2.",True,False,False,[],1.723
47,semantic,not_in_store,I need to find some eggs,,eggs,none,[],I couldn't find any eggs in our inventory today. Would you like me to help you look for a different type of egg product?,True,True,False,[],1.763
48,semantic,not_in_store,Where is the butter?,,butter,move,[1],We carry Plain Yogurt in Aisle 1.,True,False,False,[],1.559
49,semantic,direct,Can I get 2 litres of milk please?,milk,milk,move,[1],"Sure, I can help you with that. We have 2L Milk in Aisle 1.",True,True,False,[],1.756
50,semantic,direct,I need cola and some mixed nuts,soda; nuts,cola; mixed nuts,move,"[4, 5]",I found cola in Aisle 4 and mixed nuts in Aisle 5. Let me know if you need help with anything else!,True,True,False,[],1.8
