id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,extraction_source,llm_extraction_empty,retrieval_no_results,used_inventory_context_fallback,semantic_top_k,semantic_min_score,raw_target_aisles,grounded_target_aisles,grounding_drop_count,hallucination_source,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,12.549
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,14.711
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],Milk (1L) is in Aisle 1. You can find it right here.,True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.839
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,Large Eggs (12ct),move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,1.351
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,egg,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,2.399
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1 under the dairy section. Would you like me to help you locate them or add them",True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.964
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],The Whole Wheat Wraps are in Aisle 2. There are 9 in stock at $3.40 each.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[2],[2],0,,1.467
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],Sure! We carry Whole Wheat Wraps in Aisle 2.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[2],[2],0,,1.75
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],"Sure, I can help you find Whole Wheat Wraps. They are in the bakery aisle.",True,1,True,1,False,0,[],none,False,True,True,,,[2],[2],0,,0.966
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],We have Black Beans (Can) in Aisle 6.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[6],[6],0,,1.345
