id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,extraction_source,llm_extraction_empty,retrieval_no_results,used_inventory_context_fallback,semantic_top_k,semantic_min_score,raw_target_aisles,grounded_target_aisles,grounding_drop_count,hallucination_source,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,14.21
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,54.441
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],"The Milk (1L) is in Aisle 1, right next to the other dairy products.",True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.963
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,Large Eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,1.598
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,large eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,4.321
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we have Large Eggs (12ct) in aisle 1 under the dairy section.",True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.894
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],Sure! We have Whole Wheat Wraps in Aisle 2. They're $3.40 and we have 9 in stock.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[2],[2],0,,1.599
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I found Whole Wheat Wraps in Aisle 2. Let me know if you need anything else!,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[2],[2],0,,2.238
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],Whole Wheat Wraps are in the bakery aisle. You can find them in Aisle 2.,True,1,True,1,False,0,[],none,False,True,True,,,[2],[2],0,,0.915
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],I found Black Beans (Can) in Aisle 6. There are 24 in stock at $1.60 each.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[6],[6],0,,1.696
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],"Sure, we have Black Beans (Can) in Aisle 6.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[6],[6],0,,1.751
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],"Sure, I found the Black Beans (Can) in the pantry section. They're located in Aisle 6. Would you like me to help you wit",True,1,True,1,False,0,[],none,False,True,True,,,[6],[6],0,,1.487
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Yes, we have Frozen Pizza in Aisle 7.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[7],[7],0,,1.247
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Sure, we have Frozen Pizza in Aisle 7.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[7],[7],0,,1.806
5,llm_only,direct,Can I get Frozen Pizza?,frozen_pizza,,move,[7],"Sure, I can help you find that. The Frozen Pizza is in Aisle 7. Would you like me to check if it's in stock and help you",True,1,True,1,False,0,[],none,False,True,True,,,[7],[7],0,,1.057
6,presearch,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],The Chicken Breast (1lb) is in Aisle 8.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[8],[8],0,,1.477
6,semantic,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],The Chicken Breast (1lb) is in Aisle 8.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[8],[8],0,,11.824
6,llm_only,direct,Where is Chicken Breast (1lb)?,chicken_breast,,move,[8],"The Chicken Breast (1lb) is in the meat and seafood aisle, specifically in Aisle 8.",True,1,True,1,False,0,[],none,False,True,True,,,[8],[8],0,,2.884
7,presearch,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we carry Dish Soap in Aisle 9.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[9],[9],0,,1.365
7,semantic,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we carry Dish Soap in Aisle 9.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[9],[9],0,,1.681
7,llm_only,direct,Do you carry Dish Soap?,dish_soap,,move,[9],"Yes, we carry dish soap. It's in the household aisle, which is aisle 9.",True,1,True,1,False,0,[],none,False,True,True,,,[9],[9],0,,0.879
8,presearch,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],"Sure, we have Sparkling Water in Aisle 4.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[4],[4],0,,1.395
8,semantic,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],We carry Sparkling Water in Aisle 4.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[4],[4],0,,2.163
8,llm_only,direct,I want Sparkling Water.,sparkling_water,,move,[4],"Sure, I can help you find Sparkling Water. It's located in Aisle 4, in the beverages section.",True,1,True,1,False,0,[],none,False,True,True,,,[4],[4],0,,0.935
9,presearch,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],Sure! We have Toothpaste in Aisle 10. Would you like me to show you where it's located?,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[10],[10],0,,1.416
9,semantic,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],"Sure, we have Toothpaste in Aisle 10.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[10],[10],0,,1.779
9,llm_only,direct,Could you find Toothpaste for me?,toothpaste,,move,[10],"Sure, I can help you find Toothpaste. It's located in the Health & Beauty aisle, aisle 10.",True,1,True,1,False,0,[],none,False,True,True,,,[10],[10],0,,0.851
10,presearch,direct,I'm looking for Trail Mix.,trail_mix,trail mix,move,[5],We carry Trail Mix in Aisle 5.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[5],[5],0,,1.603
10,semantic,direct,I'm looking for Trail Mix.,trail_mix,trail mix,move,[5],Trail Mix is located in Aisle 5.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[5],[5],0,,1.718
10,llm_only,direct,I'm looking for Trail Mix.,trail_mix,,move,[5],"The Trail Mix is located in the snacks aisle, which is aisle 5.",True,1,True,1,False,0,[],none,False,True,True,,,[5],[5],0,,0.837
11,presearch,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; sugar; butter; chocolate chips; eggs; vanilla extract; baking soda; salt,move,"[1, 6]","We carry flour (Aisle 6), sugar (Aisle 6), butter (Aisle 1), eggs (Aisle 1), and salt (Aisle 1). Unfortunately, we do no",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[1, 6]","[1, 6]",0,,3.346
11,semantic,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; sugar; butter; chocolate chips; eggs,move,"[5, 1, 6]","For chocolate chip cookies, you'll need chocolate cookies, unsalted butter, all-purpose flour, and large eggs (12ct). We",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[5, 1, 6]","[5, 1, 6]",0,,3.03
11,llm_only,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,,move,"[5, 6]","For chocolate chip cookies, you'll need flour, sugar, butter, chocolate chips, eggs, and baking soda. These items are in",True,1,True,1,False,0,[],none,False,True,True,,,"[5, 6]","[5, 6]",0,,1.207
12,presearch,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,pasta; tomato sauce; ground beef; garlic; onion,move,"[3, 6, 8]","For spaghetti night, you'll need Spaghetti Pasta (Aisle 6), Tomato Sauce (Aisle 6), Ground Beef (Aisle 8), and Yellow On",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[3, 6, 8]","[3, 6, 8]",0,,1.724
12,semantic,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,flour; eggs; tomato sauce; ground beef; spaghetti noodles,move,"[6, 8]","For spaghetti night, you'll need Spaghetti Pasta (Aisle 6), Tomato Sauce (Aisle 6), and Ground Beef (Aisle 8).",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[6, 8]","[6, 8]",0,,3.31
12,llm_only,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,,move,"[6, 8]","For spaghetti night, you'll need pasta, spaghetti sauce, and maybe some meat like ground beef or chicken. The pantry ais",True,1,True,1,False,0,[],none,False,True,True,,,"[6, 8]","[6, 8]",0,,1.244
13,presearch,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; lettuce; tomato; cucumber; mayonnaise,move,"[3, 8]","For a chicken salad, I can help you find Chicken Breast (Aisle 8), Lettuce (Aisle 3), and Tomato (Aisle 3). Unfortunatel",True,1,True,1,False,0,[],llm_extract,False,True,False,,,"[3, 8]","[3, 8]",0,,2.545
13,semantic,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; lettuce; tomato; mayonnaise; celery; hard-boiled egg,move,"[3, 6, 8]","We have Chicken Breast (Aisle 8), Tomato (Aisle 3), Lettuce (Aisle 3), and Tomato Sauce (Aisle 6) for your chicken salad",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,"[3, 6, 8]","[3, 6, 8]",0,,3.113
