id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,semantic,direct,Where can I find milk?,milk,milk,move,[1],"You can find milk in Aisle 1. We carry various types including Milk (2L), Milk (1L), Plain Yogurt, and Cheddar Cheese.",True,True,False,[],76.204
2,semantic,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],"Yes, we have Cheddar Cheese in Aisle 1.",True,True,False,[],1.868
3,semantic,direct,I need some apples please,apple,apple,move,"[3, 4]","We have several apple products available! You can find Apples, Apple Juice, Grapes, and Oranges in Aisle 3. For Apple Ju",True,True,False,[],1.783
4,semantic,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],"Sure, we have White Bread in Aisle 2.",True,True,False,[],1.94
5,semantic,direct,I would like some orange juice,juice,orange juice,move,[4],We carry orange juice in Aisle 4.,True,True,False,[],3.146
6,semantic,direct,Where are the potato chips?,chips,potato chips,move,[5],The potato chips are in Aisle 5.,True,True,False,[],1.778
7,semantic,direct,Can you help me find bottled water?,water,bottled water,move,[4],Sure! We have bottled water in Aisle 4.,True,True,False,[],1.436
8,semantic,direct,I need a banana,banana,banana,move,[3],We carry bananas. They are in Aisle 3.,True,True,False,[],1.433
9,semantic,direct,Do you sell croissants?,croissant,croissant,move,[2],"Yes, we sell croissants! They are in Aisle 2.",True,True,False,[],1.912
10,semantic,direct,I am looking for plain yogurt,yogurt,plain yogurt,move,[1],We carry Plain Yogurt in Aisle 1.,True,True,False,[],1.545
11,semantic,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk,move,[1],"You'll need flour, eggs, sugar, butter, baking powder, and milk for the birthday cake. All these items are available in ",True,True,False,[],2.523
12,semantic,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; carrot; onion; olive oil; vinegar; salt; pepper,move,[3],"We have lettuce (Aisle 3), tomato (Aisle 3), and carrot (Aisle 3) available for your salad.",True,True,False,[],2.922
