id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find the Milk (1L) in **Aisle 1**. We also have Milk (2L) available there as well.,TRUE,1,TRUE,1,FALSE,0,[],12.339
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,TRUE,1,TRUE,1,FALSE,0,[],47.997
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],Sure! The 1-liter milk is in our dairy section—just head to Aisle 1. Let me know if you need help finding anything else!,TRUE,1,TRUE,1,FALSE,0,[],0.931
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],Yes! We have Large Eggs (12ct) available in **Aisle 1**.,TRUE,1,TRUE,1,FALSE,0,[],1.549
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],Yes! We have **Large Eggs (12ct)** available—just grab them from **Aisle 1**.,TRUE,1,TRUE,1,FALSE,0,[],2.726
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],Yes! We have Large Eggs (12-count) right here in stock. They're in Aisle 1 under the dairy section—just follow the signs,TRUE,1,TRUE,1,FALSE,0,[],1.106
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],You’ll find the Whole Wheat Wraps in **Aisle 2**—we have 9 in stock for $3.40!,TRUE,1,TRUE,1,FALSE,0,[],1.787
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I found the Whole Wheat Wraps in **Aisle 2** for you!,TRUE,1,TRUE,1,FALSE,0,[],3.14
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],Sure! The Whole Wheat Wraps are in the bakery section—just head to Aisle 2. They’re priced at $3.40 each.,TRUE,1,TRUE,1,FALSE,0,[],0.955
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],You can find the Black Beans (Can) in Aisle 6—we have 24 in stock for $1.60 each!,TRUE,1,TRUE,1,FALSE,0,[],1.552
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],We have Black Beans (Can) available—just head to **Aisle 6**!,TRUE,1,TRUE,1,FALSE,0,[],2.189
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],Great choice! We have black beans in stock. You’ll find them in **Aisle 6** under the pantry section.,TRUE,1,TRUE,1,FALSE,0,[],0.907
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Absolutely! We have **Frozen Pizza** available in **Aisle 7**—just $6.80 each, and we have 11 in stock.",TRUE,1,TRUE,1,FALSE,0,[],1.585
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],Yes! We have Frozen Pizza available in **Aisle 7**. Would you like any sides like Frozen Fries or Chicken Nuggets?,TRUE,1,TRUE,1,FALSE,0,[],2.314
5,llm_only,direct,Can I get Frozen Pizza?,frozen_pizza,,move,[7],Absolutely! We have a great selection of frozen pizzas right here in the store. I can grab one for you—just let me know ,TRUE,1,TRUE,1,FALSE,0,[],1.3
6,presearch,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],You can find the Chicken Breast (1lb) in Aisle 8—we have 10 in stock!,TRUE,1,TRUE,1,FALSE,0,[],4.271
6,semantic,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],The **Chicken Breast (1lb)** is available in **Aisle 8**.,TRUE,1,TRUE,1,FALSE,0,[],11.203
6,llm_only,direct,Where is Chicken Breast (1lb)?,chicken_breast,,move,[8],The chicken breast (1lb) is available in our meat and seafood section—just head to Aisle 8! Let me know if you need help,TRUE,1,TRUE,1,FALSE,0,[],1.028
7,presearch,direct,Do you carry Dish Soap?,dish_soap,,move,[12],"Yes, we carry dish soap! You’ll find our selection in the cleaning products section—just follow the signs for household ",TRUE,1,FALSE,0,TRUE,1,[12],2.544
7,semantic,direct,Do you carry Dish Soap?,dish_soap,dish soap; dish; soap; carry,move,[9],Yes! We carry **Dish Soap**—you’ll find it in **Aisle 9**.,TRUE,1,TRUE,1,FALSE,0,[],2.618
7,llm_only,direct,Do you carry Dish Soap?,dish_soap,,move,[9],"Yes, we do carry dish soap! It’s in the household section—just head to Aisle 9.",TRUE,1,TRUE,1,FALSE,0,[],1.018
8,presearch,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],You can find Sparkling Water in Aisle 4—we have it for $1.80 with 22 in stock!,TRUE,1,TRUE,1,FALSE,0,[],1.905
8,semantic,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],We have Sparkling Water available—it’s in **Aisle 4**. Let me grab that for you!,TRUE,1,TRUE,1,FALSE,0,[],2.37
8,llm_only,direct,I want Sparkling Water.,sparkling_water,,move,[4],Great choice! We have Sparkling Water in the beverages aisle. It’s priced at $1.80 per bottle—would you like me to grab ,TRUE,1,TRUE,1,FALSE,0,[],1.045
9,presearch,direct,Could you find Toothpaste for me?,toothpaste,,move,"[7, 12]","Of course! We have several great toothpaste options—Colgate Total, Sensodyne ProSchwartz, and Tom’s of Maine are all in ",TRUE,1,FALSE,0,TRUE,1,[12],1.695
9,semantic,direct,Could you find Toothpaste for me?,toothpaste,toothpaste; could,move,[10],I found Toothpaste for you—it’s located in **Aisle 10**.,TRUE,1,TRUE,1,FALSE,0,[],2.534
9,llm_only,direct,Could you find Toothpaste for me?,toothpaste,,move,[10],Sure thing! We have toothpaste right here in the store—it’s in Aisle 10 under health and beauty products. I’ll grab one ,TRUE,1,TRUE,1,FALSE,0,[],0.948
10,presearch,direct,I'm looking for Trail Mix.,trail_mix,raisins; nuts; dried fruit; peanuts; chocolate pieces,move,[5],"We have **Mixed Nuts** in Aisle 5—it’s a great option for trail mix! Unfortunately, we don’t carry raisins, dried fruit,",TRUE,1,TRUE,1,FALSE,0,[],1.816
10,semantic,direct,I'm looking for Trail Mix.,trail_mix,raisins; nuts; peanuts; dried cranberries; chocolate chips; pretzels,move,[5],"We don’t carry Trail Mix, but we have **Mixed Nuts** in Aisle 5—it might work as a similar snack!",TRUE,1,TRUE,1,FALSE,0,[],3.047
10,llm_only,direct,I'm looking for Trail Mix.,trail_mix,,move,[5],"Oh, we have a great selection of trail mix! It’s in the snacks section—just head to Aisle 5, and you’ll find it right th",TRUE,1,TRUE,1,FALSE,0,[],0.983
11,presearch,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; sugar; baking powder; salt; butter; chocolate chips; vanilla extract; eggs,move,"[6, 1]","For chocolate chip cookies, you’ll need **All-Purpose Flour (Aisle 6)**, **Granulated Sugar (Aisle 6)**, and **Unsalted ",TRUE,1,TRUE,1,FALSE,0,[],1.897
11,semantic,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; sugar; baking powder; baking soda; salt; butter; vanilla extract; chocolate chips; eggs,move,"[5, 1]","For chocolate chip cookies, you’ll need **Chocolate Cookies (Aisle 5)** and **Unsalted Butter (Aisle 1)** from our selec",TRUE,1,TRUE,1,FALSE,0,[],3.819
11,llm_only,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,,move,"[1, 2, 5, 6]","Great choice! For chocolate chip cookies, you’ll need **All-Purpose Flour**, **Granulated Sugar**, **Unsalted Butter**, ",TRUE,1,TRUE,1,FALSE,0,[],1.135
12,presearch,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,pasta; tomato sauce; garlic; onion; olive oil; salt; pepper; parmesan cheese; butter; basil,move,"[6, 3]","For spaghetti night, you’ll need Spaghetti (Aisle 6), Tomato Sauce (Aisle 6), Yellow Onion (Aisle 3), and Bell Pepper (A",TRUE,1,TRUE,1,FALSE,0,[],1.849
12,semantic,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,pasta; tomato sauce; garlic; onion; olive oil; salt; pepper; butter; parmesan cheese; basilic,move,"[6, 3]","For spaghetti night, you’ll need **Spaghetti Pasta (Aisle 6)**, **Tomato Sauce (Aisle 6)**, and **Yellow Onion (Aisle 3)",TRUE,1,TRUE,1,FALSE,0,[],6.041
12,llm_only,recipe,What do I need for spaghetti night?,pasta_spaghetti; tomato_sauce; olive_oil,,move,[6],"For a great spaghetti night, you’ll want spaghetti pasta, tomato sauce, garlic (if you have it), and maybe some olive oi",TRUE,1,TRUE,1,FALSE,0,[],1.454
13,presearch,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; lettuce; tomato; cucumber; celery; onion; mayonnaise; mustard; lemon juice; salt; pepper,move,"[3, 6, 8]","For your chicken salad, you can grab **Chicken Breast (1lb) from Aisle 8**, **Lettuce from Aisle 3**, **Tomato from Aisl",TRUE,1,TRUE,1,FALSE,0,[],2.452
13,semantic,recipe,Help me build ingredients for a chicken salad.,chicken_breast; lettuce; tomato; olive_oil,chicken; lettuce; tomato; cucumber; celery; onion; mayonnaise; mustard; lemon juice; salt; pepper,move,"[8, 3]","For your chicken salad, you’ll need the **Chicken Breast (Aisle 8)**. We also have **Tomato (Aisle 3)**, **Lettuce (Aisl",TRUE,1,TRUE,1,FALSE,0,[],3.918
