id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find the Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],13.428
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find the Milk (1L) in Aisle 1!,True,1,True,1,False,0,[],87.506
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],You can find the 1L Milk in Aisle 1. Let me know if you need help finding anything else!,True,1,True,1,False,0,[],2.921
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],3.161
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],4.177
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we do! You can find the Large Eggs (12ct) for $3.80 in Aisle 1.",True,1,True,1,False,0,[],2.069
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I can certainly help with that! You can find Whole Wheat Wraps in Aisle 2.,True,1,True,1,False,0,[],4.053
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I can certainly help you with that! You can find Whole Wheat Wraps in Aisle 2.,True,1,True,1,False,0,[],3.596
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],Of course! You can find the Whole Wheat Wraps over in Aisle 2 in the bakery section.,True,1,True,1,False,0,[],4.675
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],I can certainly help you with that! You can find Black Beans (Can) in Aisle 6.,True,1,True,1,False,0,[],2.895
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],I can help you with that! You can find Black Beans (Can) in Aisle 6.,True,1,True,1,False,0,[],3.688
