id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,semantic,direct,Where can I find milk?,milk,milk,move,[1],You can find Milk (2L) and Milk (1L) in Aisle 1.,True,True,False,[],57.831
2,semantic,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],"Yes, we have Cheddar Cheese in Aisle 1.",True,True,False,[],15.803
3,semantic,direct,I need some apples please,apple,apple,move,"[3, 4]",I can help you with that! We have Apple in Aisle 3 and Apple Juice in Aisle 4.,True,True,False,[],6.55
4,semantic,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],"Yes, we have White Bread available in Aisle 2.",True,True,False,[],3.067
5,semantic,direct,I would like some orange juice,juice,orange juice,move,"[4, 3]",I can help you with that! We have Orange Juice in Aisle 4 and Oranges in Aisle 3.,True,True,False,[],3.31
6,semantic,direct,Where are the potato chips?,chips,potato chips,move,[5],You can find the Potato Chips in Aisle 5!,True,True,False,[],2.902
7,semantic,direct,Can you help me find bottled water?,water,water,move,[4],Of course! You can find Bottled Water in Aisle 4.,True,True,False,[],8.027
8,semantic,direct,I need a banana,banana,banana,move,[3],I can help you with that! You can find Banana in Aisle 3.,True,True,False,[],27.43
9,semantic,direct,Do you sell croissants?,croissant,croissants,move,[2],"Yes, we have Croissants in Aisle 2!",True,True,False,[],9.718
10,semantic,direct,I am looking for plain yogurt,yogurt,yogurt,move,[1],I can help you with that! We have Plain Yogurt in Aisle 1.,True,True,False,[],4.241
11,semantic,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk; vanilla extract,move,[1],"For your birthday cake, we have Milk (2L) and Milk (1L) available in Aisle 1. Unfortunately, we do not carry flour, eggs",True,True,False,[],6.61
12,semantic,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; onion; olive oil; vinegar; salt; pepper,move,[3],"I can help you with that! We have Tomato and Lettuce, both located in Aisle 3.",True,True,False,[],24.408
13,semantic,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,yogurt; milk; banana; strawberry; blueberry; honey,move,"[3, 1]","I can help you with that! We have Banana in Aisle 3, as well as Plain Yogurt, Milk (2L), and Milk (1L) in Aisle 1.",True,True,False,[],52.997
