id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],13.388
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1!,True,1,True,1,False,0,[],30.232
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],You can find the 1L Milk over in Aisle 1. Let me know if you need help finding anything else!,True,1,True,1,False,0,[],2.015
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],"Yes, we have Large Eggs (12ct) available in Aisle 1.",True,1,True,1,False,0,[],2.424
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],3.061
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we do! You can find the Large Eggs (12ct) over in Aisle 1.",True,1,True,1,False,0,[],1.902
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I can help you with that! You can find the Whole Wheat Wraps in Aisle 2.,True,1,True,1,False,0,[],3.427
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I can certainly help you with that! You can find Whole Wheat Wraps in Aisle 2.,True,1,True,1,False,0,[],3.341
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],Of course! You can find the Whole Wheat Wraps in Aisle 2 in the bakery section.,True,1,True,1,False,0,[],1.798
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],Of course! You can find Black Beans (Can) in Aisle 6.,True,1,True,1,False,0,[],2.611
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],I can certainly help with that! You can find Black Beans (Can) in Aisle 6.,True,1,True,1,False,0,[],3.039
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],Of course! You can find the canned black beans in Aisle 6.,True,1,True,1,False,0,[],1.719
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Yes, we have Frozen Pizza available in Aisle 7.",True,1,True,1,False,0,[],2.388
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Yes, we have Frozen Pizza in Aisle 7!",True,1,True,1,False,0,[],3.441
5,llm_only,direct,Can I get Frozen Pizza?,frozen_pizza,,move,[7],Of course! You can find our Frozen Pizza over in Aisle 7.,True,1,True,1,False,0,[],1.599
