id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,extraction_source,llm_extraction_empty,retrieval_no_results,used_inventory_context_fallback,semantic_top_k,semantic_min_score,raw_target_aisles,grounded_target_aisles,grounding_drop_count,hallucination_source,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find the Milk (1L) in **Aisle 1**. We also have Milk (2L) available there as well.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,12.076
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,36.662
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],You’ll find the 1L Milk in our Dairy section—just head to Aisle 1! Let me know if you need help finding anything else.,True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,1.01
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],Yes! We have Large Eggs (12ct) available in **Aisle 1**.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,1.46
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],Yes! We have **Large Eggs (12ct)** available—just grab them from **Aisle 1**.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,2.507
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we have Large Eggs (12-count) right here in the dairy section! They're priced at $3.80.",True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.908
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],You’ll find the Whole Wheat Wraps in Aisle 2—we have 9 in stock!,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[2],[2],0,,1.55
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I found the Whole Wheat Wraps in **Aisle 2**. Would you like help with anything else?,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[2],[2],0,,2.688
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],Sure thing! The Whole Wheat Wraps are in the bakery section—just head to Aisle 2. Let me know if you'd like me to add th,True,1,True,1,False,0,[],none,False,True,True,,,[2],[2],0,,0.971
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],You can find the Black Beans (Can) in Aisle 6—we have 24 in stock for $1.60 each!,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[6],[6],0,,1.541
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],We have Black Beans (Can) available—just head to **Aisle 6**!,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[6],[6],0,,2.506
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],Great choice! We have black beans in stock—just head to **Aisle 6 (Pantry)**. Let me know if you'd like me to add it to ,True,1,True,1,False,0,[],none,False,True,True,,,[6],[6],0,,0.917
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Absolutely! We have Frozen Pizza available in **Aisle 7**—just $6.80 each, and we have 11 in stock.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[7],[7],0,,1.513
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],Yes! We have Frozen Pizza available in **Aisle 7**. Would you like to grab it there?,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[7],[7],0,,2.608
5,llm_only,direct,Can I get Frozen Pizza?,frozen_pizza,,move,[7],Sure! We have Frozen Pizza in stock—it’s in Aisle 7. Would you like me to grab one for you?,True,1,True,1,False,0,[],none,False,True,True,,,[7],[7],0,,0.853
6,presearch,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],You can find the **Chicken Breast (1lb)** in **Aisle 8**.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[8],[8],0,,1.517
6,semantic,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],The **Chicken Breast (1lb)** is available in **Aisle 8**.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[8],[8],0,,3.317
6,llm_only,direct,Where is Chicken Breast (1lb)?,chicken_breast,,move,[8],The chicken breast (1lb) is available in our meat and seafood section—just head to **Aisle 8**! Let me know if you need ,True,1,True,1,False,0,[],none,False,True,True,,,[8],[8],0,,0.91
7,presearch,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],Yes! We carry **Dish Soap**—it’s in **Aisle 9**.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[9],[9],0,,4.775
7,semantic,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we carry **Dish Soap**! You’ll find it in **Aisle 9**.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[9],[9],0,,2.086
7,llm_only,direct,Do you carry Dish Soap?,dish_soap,,move,[9],"Yes, we do carry dish soap! It’s in the household section—just head to Aisle 9.",True,1,True,1,False,0,[],none,False,True,True,,,[9],[9],0,,0.793
8,presearch,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],You can find Sparkling Water in Aisle 4—we have it for $1.80 with 22 in stock!,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[4],[4],0,,1.45
8,semantic,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],We have Sparkling Water available in **Aisle 4**. Would you like me to grab it for you?,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[4],[4],0,,2.131
8,llm_only,direct,I want Sparkling Water.,sparkling_water,,move,[4],Sure thing! We have Sparkling Water in stock—it’s in Aisle 4. I’ll grab one for you right away!,True,1,True,1,False,0,[],none,False,True,True,,,[4],[4],0,,0.87
9,presearch,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],We have **Toothpaste** available in our store! You’ll find it in **Aisle 10**.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[10],[10],0,,1.482
