id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find milk?,milk,milk,move,[1],"I'm adding Milk (1L) to your cart — you'll find it in Aisle 1! I'm also adding Milk (2L) to your cart, which is also in ",True,True,False,[],13.399
1,llm_only,direct,Where can I find milk?,milk,,move,[1],You can find our milk in Aisle 1! We have both 1L and 2L options available for you.,True,True,False,[],1.656
2,presearch,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],"Yes, we do! I'm adding Cheddar Cheese to your cart — you'll find it in Aisle 1!",True,True,False,[],3.689
2,llm_only,direct,Do you have cheddar cheese?,cheese,,move,[1],"Yes, we do! You can find the Cheddar Cheese in Aisle 1 in the dairy section.",True,True,False,[],2.901
3,presearch,direct,I need some apples please,apple,apple,move,"[3, 4]","I'm adding Apple to your cart — you'll find it in Aisle 3, and I'm adding Apple Juice to your cart — you'll find it in A",True,True,False,[],7.141
3,llm_only,direct,I need some apples please,apple,,move,[3],Of course! You can find the apples in Aisle 3.,True,True,False,[],17.092
4,presearch,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],I'm adding White Bread to your cart — you'll find it in Aisle 2!,True,True,False,[],3.361
4,llm_only,direct,Can I get a loaf of white bread?,bread,,none,[],Of course! You can find the white bread over in Aisle 2 in the bakery section.,True,False,False,[],2.137
5,presearch,direct,I would like some orange juice,juice,orange juice,move,[4],I'm adding Orange Juice to your cart — you'll find it in Aisle 4!,True,True,False,[],41.13
5,llm_only,direct,I would like some orange juice,juice,,move,[4],Of course! You can find the orange juice over in Aisle 4.,True,True,False,[],2.119
6,presearch,direct,Where are the potato chips?,chips,potato chips,move,[5],I'm adding Potato Chips to your cart — you'll find them in Aisle 5!,True,True,False,[],2.727
6,llm_only,direct,Where are the potato chips?,chips,,move,[5],You can find the potato chips in Aisle 5!,True,True,False,[],5.892
7,presearch,direct,Can you help me find bottled water?,water,water,move,[4],I'd be happy to help! I'm adding Bottled Water to your cart — you'll find it in Aisle 4!,True,True,False,[],15.01
7,llm_only,direct,Can you help me find bottled water?,water,,move,[4],Of course! You can find the bottled water over in Aisle 4.,True,True,False,[],2.128
8,presearch,direct,I need a banana,banana,banana,move,[3],I'm adding a Banana to your cart — you'll find it in Aisle 3!,True,True,False,[],4.925
8,llm_only,direct,I need a banana,banana,,move,[3],Of course! You can find bananas over in Aisle 3.,True,True,False,[],2.54
9,presearch,direct,Do you sell croissants?,croissant,croissant,move,[2],"Yes, we do! I'm adding a Croissant to your cart — you'll find it in Aisle 2!",True,True,False,[],3.246
9,llm_only,direct,Do you sell croissants?,croissant,,move,[2],"Yes, we do! You can find our croissants over in Aisle 2 in the bakery section.",True,True,False,[],1.853
10,presearch,direct,I am looking for plain yogurt,yogurt,yogurt,move,[1],I'm adding Plain Yogurt to your cart — you'll find it in Aisle 1!,True,True,False,[],2.316
10,llm_only,direct,I am looking for plain yogurt,yogurt,,move,[1],"Of course! You can find the plain yogurt in Aisle 1, right in the dairy section.",True,True,False,[],50.567
11,presearch,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk; vanilla extract,move,[1],"I'm adding Milk (1L) and Milk (2L) to your cart — you'll find them in Aisle 1! Unfortunately, we do not carry flour, egg",True,True,False,[],52.285
11,llm_only,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,,none,[],"That sounds like a lovely idea! While I don't have flour or sugar in stock, I can suggest some Milk from Aisle 1 or some",True,False,False,[],1.969
12,presearch,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; carrots; olive oil; vinegar; lemon,move,[3],"I'm adding Lettuce (Aisle 3) and Tomato (Aisle 3) to your cart, but unfortunately we do not carry cucumber, carrots, oli",True,True,False,[],31.964
12,llm_only,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,,move,[3],"I can certainly help with that! You'll find lettuce, tomatoes, carrots, and broccoli over in Aisle 3.",True,True,False,[],1.763
13,presearch,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,yogurt; milk; banana; strawberry; blueberry; honey,move,"[1, 3]","I'm adding Plain Yogurt (Aisle 1), Milk (1L) and Milk (2L) (Aisle 1), and Banana (Aisle 3) to your cart! Unfortunately, ",True,True,False,[],3.15
13,llm_only,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,,move,"[1, 3]","I'd be happy to help! For a smoothie, you'll find our apples, bananas, oranges, and grapes in Aisle 3, and the milk and ",True,True,False,[],2.111
14,presearch,recipe,"I want to make breakfast, what do you have?",bread; milk; yogurt,eggs; bacon; pancakes; syrup; orange juice; toast; butter,move,[4],"I'm adding Orange Juice to your cart — you'll find it in Aisle 4! Unfortunately, we do not carry eggs, bacon, pancakes, ",True,True,False,[],29.629
14,llm_only,recipe,"I want to make breakfast, what do you have?",bread; milk; yogurt,,move,"[1, 2, 3, 4]","Good morning! For breakfast, we have milk, yogurt, and cheese in Aisle 1, and a variety of breads, croissants, and donut",True,True,False,[],2.356
15,presearch,recipe,What do I need to make a cheese sandwich?,bread; cheese,bread; cheese; butter,move,"[2, 1]","I'm adding White Bread (Aisle 2), Wheat Bread (Aisle 2), and Cheddar Cheese (Aisle 1) to your cart, but unfortunately, w",True,True,False,[],3.09
15,llm_only,recipe,What do I need to make a cheese sandwich?,bread; cheese,,move,"[1, 2]","For a cheese sandwich, you'll need some bread from Aisle 2 and some Cheddar Cheese from Aisle 1. Would you like me to sh",True,True,False,[],2.118
16,presearch,associative,I'm hosting a party and need snacks and drinks,chips; cookies; soda; juice,chips; dip; nuts; crackers; soda; juice; water,move,"[5, 4]","I'm adding Potato Chips and Mixed Nuts (Aisle 5), and Cola, Orange Juice, Apple Juice, and Bottled Water (Aisle 4) to yo",True,True,False,[],6.226
16,llm_only,associative,I'm hosting a party and need snacks and drinks,chips; cookies; soda; juice,,move,"[4, 5]",That sounds exciting! You can find our drinks in Aisle 4 and a great variety of snacks in Aisle 5.,True,True,False,[],1.776
17,presearch,associative,I want something healthy for my lunch,apple; carrot; water,,none,[],"I'd be happy to help you with that! Do you have a preference, like a fresh salad, something with protein, or perhaps som",True,False,False,[],2.571
17,llm_only,associative,I want something healthy for my lunch,apple; carrot; water,,move,"[1, 3]","I'd recommend some fresh vegetables like broccoli or lettuce from Aisle 3, or perhaps some plain yogurt from Aisle 1 for",True,True,False,[],19.438
18,presearch,associative,I need something sweet to snack on,cookies; donut; granola,,none,[],"I can definitely help you with that! Do you have something specific in mind, or would you like some recommendations?",True,False,False,[],2.851
18,llm_only,associative,I need something sweet to snack on,cookies; donut; granola,,move,"[2, 5]","I can certainly help with that! We have chocolate cookies and glazed donuts, which are located in Aisle 5 and Aisle 2 re",True,True,False,[],1.951
19,presearch,associative,"I am going on a hike, what should I take?",water; nuts; granola,water; trail mix; granola bars; fruit,move,[4],"I'm adding Bottled Water to your cart — you'll find it in Aisle 4! Unfortunately, we do not carry trail mix, granola bar",True,True,False,[],3.133
19,llm_only,associative,"I am going on a hike, what should I take?",water; nuts; granola,,move,"[4, 5]","That sounds like a fun trip! I'd recommend some Bottled Water from Aisle 4, and some energy-boosting snacks like Mixed N",True,True,False,[],2.241
20,presearch,associative,I want to make a hot beverage this morning,coffee; milk,coffee; tea; milk; sugar,move,"[4, 1]","I'm adding Coffee Beans (Aisle 4), Milk (1L) (Aisle 1), and Milk (2L) (Aisle 1) to your cart, but we do not carry tea or",True,True,False,[],3.4
20,llm_only,associative,I want to make a hot beverage this morning,coffee; milk,,move,[4],"Good morning! If you're looking for something to brew, we have coffee beans available in Aisle 4.",True,True,False,[],1.73
21,presearch,not_in_store,Do you carry sushi ingredients?,,sushi rice; nori; vinegar; sugar; salt; fish; cucumber; avocado; soy sauce; wasabi,none,[],"I'm sorry, but we do not carry sushi rice, nori, vinegar, sugar, salt, fish, cucumber, avocado, soy sauce, or wasabi.",True,True,False,[],3.334
21,llm_only,not_in_store,Do you carry sushi ingredients?,,,none,[],"I'm sorry, we don't have sushi-specific ingredients like seaweed or sushi rice in our inventory. However, I can help you",True,True,False,[],1.988
22,presearch,not_in_store,Where can I find dog food?,,dog food,none,[],"I'm sorry, but we do not carry dog food.",True,True,False,[],1.969
22,llm_only,not_in_store,Where can I find dog food?,,,none,[],"I'm sorry, but we don't seem to have any dog food in our current inventory. Is there anything else I can help you find t",True,True,False,[],1.641
23,presearch,not_in_store,I need some fresh salmon,,salmon,none,[],"I'm sorry, but we do not carry salmon.",True,True,False,[],1.984
23,llm_only,not_in_store,I need some fresh salmon,,,none,[],"I'm sorry, but we don't have any fresh salmon in our current inventory. Is there anything else I can help you find today",True,True,False,[],1.591
24,presearch,not_in_store,Do you sell pasta?,,pasta,none,[],"I'm sorry, but we do not carry pasta.",True,True,False,[],14.92
24,llm_only,not_in_store,Do you sell pasta?,,,none,[],"I'm sorry, but we don't have any pasta in our current inventory. Is there anything else I can help you find today?",True,True,False,[],3.26
25,presearch,not_in_store,Can I get some ice cream?,,ice cream,none,[],"I'm sorry, but we do not carry ice cream.",True,True,False,[],26.989
25,llm_only,not_in_store,Can I get some ice cream?,,,none,[],"I'm sorry, but we don't have any ice cream in stock at the moment. Is there anything else I can help you find?",True,True,False,[],15.903
26,presearch,conversational,"Hello there, how are you today?",,,none,[],"Hello! I'm doing great, thank you for asking. How can I help you with your shopping today?",True,True,False,[],2.987
