id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find milk?,milk,milk,none,[],"```json
{
  ""dialogue"": ""I'm adding Milk (1L) and Milk (2L) to your cart — you'll find both of them in Aisle 1!"",
  ""act",True,False,False,[],2.717
1,llm_only,direct,Where can I find milk?,milk,,none,[],"```json
{
  ""dialogue"": ""You can find our milk over in Aisle 1! We have both 1L and 2L options available."",
  ""action"": ",True,False,False,[],2.137
2,presearch,direct,Do you have cheddar cheese?,cheese,cheddar cheese,none,[],"```json
{
  ""dialogue"": ""Yes, I'm adding Cheddar Cheese to your cart — you'll find it in Aisle 1!"",
  ""action"": ""move"",
",True,False,False,[],3.032
2,llm_only,direct,Do you have cheddar cheese?,cheese,,none,[],"```json
{
  ""dialogue"": ""Yes, we do! You can find the Cheddar Cheese in Aisle 1 with the other dairy products."",
  ""acti",True,False,False,[],2.05
3,presearch,direct,I need some apples please,apple,apple,none,[],"```json
{
  ""dialogue"": ""I'm adding Apple to your cart from Aisle 3 and Apple Juice from Aisle 4!"",
  ""action"": ""move"",
",True,False,False,[],2.478
3,llm_only,direct,I need some apples please,apple,,none,[],"```json
{
  ""dialogue"": ""Of course! You can find the apples in Aisle 3."",
  ""action"": ""none"",
  ""target_aisles"": [3]
}
`",True,False,False,[],2.456
4,presearch,direct,Can I get a loaf of white bread?,bread,bread,none,[],"```json
{
  ""dialogue"": ""I'm adding White Bread to your cart — you'll find it in Aisle 2! I'm also adding Wheat Bread to",True,False,False,[],3.2
4,llm_only,direct,Can I get a loaf of white bread?,bread,,none,[],"```json
{
  ""dialogue"": ""Of course! You can find the white bread over in Aisle 2 in the bakery section."",
  ""action"": ""n",True,False,False,[],1.682
5,presearch,direct,I would like some orange juice,juice,orange juice,none,[],"```json
{
  ""dialogue"": ""I'm adding Orange Juice to your cart — you'll find it in Aisle 4!"",
  ""action"": ""move"",
  ""targ",True,False,False,[],2.505
5,llm_only,direct,I would like some orange juice,juice,,none,[],"```json
{
  ""dialogue"": ""Of course! You can find our orange juice over in Aisle 4."",
  ""action"": ""none"",
  ""target_aisle",True,False,False,[],1.671
6,presearch,direct,Where are the potato chips?,chips,potato chips,none,[],"```json
{
  ""dialogue"": ""I'm adding Potato Chips to your cart — you'll find it in Aisle 5!"",
  ""action"": ""move"",
  ""targ",True,False,False,[],2.447
6,llm_only,direct,Where are the potato chips?,chips,,none,[],"```json
{
  ""dialogue"": ""The potato chips are located in Aisle 5. Let me know if you need help finding anything else!"",
",True,False,False,[],1.954
7,presearch,direct,Can you help me find bottled water?,water,,none,[],"```json
{
  ""dialogue"": ""I'd be happy to help! Could you follow me, or would you like me to point you toward the drinks ",True,False,False,[],9.31
7,llm_only,direct,Can you help me find bottled water?,water,,none,[],"```json
{
  ""dialogue"": ""Of course! You can find the bottled water in Aisle 4."",
  ""action"": ""none"",
  ""target_aisles"": ",True,False,False,[],1.603
8,presearch,direct,I need a banana,banana,banana,none,[],"```json
{
  ""dialogue"": ""I'm adding Banana to your cart — you'll find it in Aisle 3!"",
  ""action"": ""move"",
  ""target_ais",True,False,False,[],2.646
8,llm_only,direct,I need a banana,banana,,none,[],"```json
{
  ""dialogue"": ""Of course! You can find bananas in Aisle 3."",
  ""action"": ""none"",
  ""target_aisles"": [3]
}
```",True,False,False,[],1.54
9,presearch,direct,Do you sell croissants?,croissant,croissants,none,[],"```json
{
  ""dialogue"": ""I'm sorry, we do not carry croissants."",
  ""action"": ""none"",
  ""target_aisles"": []
}
```",True,False,False,[],2.244
9,llm_only,direct,Do you sell croissants?,croissant,,none,[],"```json
{
  ""dialogue"": ""Yes, we do! You can find our croissants over in Aisle 2 in the bakery section."",
  ""action"": ""n",True,False,False,[],1.746
10,presearch,direct,I am looking for plain yogurt,yogurt,yogurt,none,[],"```json
{
  ""dialogue"": ""I'm adding Plain Yogurt to your cart — you'll find it in Aisle 1!"",
  ""action"": ""move"",
  ""targ",True,False,False,[],2.478
10,llm_only,direct,I am looking for plain yogurt,yogurt,,none,[],"```json
{
  ""dialogue"": ""Of course! You can find the plain yogurt in Aisle 1 in the dairy section."",
  ""action"": ""none"",",True,False,False,[],1.714
11,presearch,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk; vanilla extract,none,[],"```json
{
  ""dialogue"": ""I'm adding Milk (1L) and Milk (2L) to your cart—you'll find them in Aisle 1! Unfortunately, we ",True,False,False,[],6.148
11,llm_only,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,,none,[],"```json
{
  ""dialogue"": ""That sounds like a lovely idea! While we don't have cake mix or flour, I can suggest some Milk ",True,False,False,[],2.202
12,presearch,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; onion; olive oil; vinegar; salt; pepper,none,[],"```json
{
  ""dialogue"": ""I'm adding Lettuce and Tomato to your cart — you'll find both in Aisle 3! Unfortunately, we do ",True,False,False,[],3.401
