id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find milk?,milk,milk,move,[1],I'm adding Milk (1L) and Milk (2L) to your cart — you'll find them in Aisle 1!,True,True,False,[],13.036
1,semantic,direct,Where can I find milk?,milk,,none,[],"We don’t carry milk here, I’m sorry!",True,False,False,[],0.981
1,llm_only,direct,Where can I find milk?,milk,,move,[1],"You’ll find our milk selection in **Aisle 1**, under the dairy section. We have 1-liter and 2-liter options—just let me ",True,True,False,[],1.292
2,presearch,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],Absolutely! I’ve found some delicious cheddar cheese for you—it’s in stock and ready to go!,True,True,False,[],1.577
2,semantic,direct,Do you have cheddar cheese?,cheese,,none,[],"We don’t currently carry cheddar cheese, I’m sorry!",True,False,False,[],0.886
2,llm_only,direct,Do you have cheddar cheese?,cheese,,move,[1],"Yes, we have cheddar cheese! It’s in Aisle 1 under the dairy section.",True,True,False,[],0.862
3,presearch,direct,I need some apples please,apple,apple,move,[3],Great choice! I'm adding fresh apples to your cart — you'll find them in Aisle 3. They're just $1.00 each and we have 30,True,True,False,[],1.749
3,semantic,direct,I need some apples please,apple,,none,[],"I'm sorry, we don’t currently carry apples at the moment.",True,False,False,[],1.295
3,llm_only,direct,I need some apples please,apple,,move,[3],Sure! We have apples in stock—just $1.00 each. They’re in Aisle 3 with the other fruits.,True,True,False,[],0.947
4,presearch,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],Absolutely! I'm adding the white bread to your cart — you'll find it in Aisle 2!,True,True,False,[],1.537
4,semantic,direct,Can I get a loaf of white bread?,bread,,none,[],"I'm sorry, we don’t currently carry white bread here.",True,False,False,[],0.801
4,llm_only,direct,Can I get a loaf of white bread?,bread,,move,[2],Sure! We have white bread in stock—it’s $2.00 per loaf. You can find it in Aisle 2.,True,True,False,[],0.906
5,presearch,direct,I would like some orange juice,juice,orange juice,move,[4],Great choice! I'm adding the orange juice to your cart — you'll find it in Aisle 4!,True,True,False,[],1.573
5,semantic,direct,I would like some orange juice,juice,,none,[],"I'm sorry, we don’t carry orange juice at the moment.",True,False,False,[],0.798
5,llm_only,direct,I would like some orange juice,juice,,move,[4],Great choice! We have orange juice in the beverages aisle—just head to Aisle 4. It’s available in both juice boxes and l,True,True,False,[],0.96
6,presearch,direct,Where are the potato chips?,chips,potato chips,move,[5],Great choice! I'm adding Potato Chips to your cart — you'll find them in Aisle 5!,True,True,False,[],1.55
6,semantic,direct,Where are the potato chips?,chips,,none,[],"We don’t carry potato chips here, I’m sorry!",True,False,False,[],0.809
6,llm_only,direct,Where are the potato chips?,chips,,move,[5],The potato chips are in Aisle 5—just follow the snacks section! Let me know if you'd like me to grab them for you.,True,True,False,[],0.916
7,presearch,direct,Can you help me find bottled water?,water,bottled water,move,[4],Absolutely! I've found bottled water for you — I'm adding it to your cart. You'll find it in **Aisle 4**!,True,True,False,[],2.88
7,semantic,direct,Can you help me find bottled water?,water,,none,[],"I’m sorry, we don’t carry bottled water at the moment.",True,False,False,[],0.839
7,llm_only,direct,Can you help me find bottled water?,water,,move,[4],Sure! Bottled water is in Aisle 4—just follow the beverages section. We have it for $1.50 per bottle.,True,True,False,[],0.921
8,presearch,direct,I need a banana,banana,banana,move,[3],I've found some bananas for you! I'm adding Banana to your cart — you'll find them in Aisle 3.,True,True,False,[],1.567
8,semantic,direct,I need a banana,banana,,none,[],"We don’t currently carry bananas, I’m sorry! Let me know if you’d like something else.",True,False,False,[],0.883
8,llm_only,direct,I need a banana,banana,,move,[3],"Sure! Bananas are in Aisle 3, and they're priced at $0.60 each. Would you like me to grab one for you?",True,True,False,[],0.927
9,presearch,direct,Do you sell croissants?,croissant,flour; butter; yeast; sugar; salt; water; milk,move,[4],"I'm sorry, we don’t carry croissants here. However, I can add Bottled Water to your cart—you’ll find it in Aisle 4!",True,True,False,[],1.941
9,semantic,direct,Do you sell croissants?,croissant,,none,[],"I'm sorry, we don’t carry croissants here!",True,False,False,[],0.871
9,llm_only,direct,Do you sell croissants?,croissant,,move,[2],"Yes, we do! We have croissants in the bakery section—just head to Aisle 2.",True,True,False,[],2.568
10,presearch,direct,I am looking for plain yogurt,yogurt,plain yogurt,move,[1],Great choice! I'm adding the **Plain Yogurt** to your cart — you'll find it in **Aisle 1**!,True,True,False,[],2.418
10,semantic,direct,I am looking for plain yogurt,yogurt,,none,[],"We don’t currently carry plain yogurt, I’m sorry! Let me know if you’d like to try flavored yogurts or other dairy optio",True,False,False,[],0.898
10,llm_only,direct,I am looking for plain yogurt,yogurt,,move,[1],We have plain yogurt right here in stock! It’s in Aisle 1 under the dairy section—just follow the signs for dairy produc,True,True,False,[],0.916
11,presearch,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk; vanilla extract; lemon juice; food coloring,move,[1],"I'm adding Milk (1L) to your cart — you'll find it in Aisle 1! Unfortunately, we don’t carry flour, eggs, sugar, butter,",True,True,False,[],1.945
11,semantic,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,,move,"[3, 4]","I don’t carry cake-specific ingredients, but I can help you find basics! I'm adding **All-Purpose Flour (5kg) to your ca",True,True,False,[],1.104
