id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,task_success,hallucinated,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find milk?,milk,milk,move,[1],I'm adding Milk (1L) and Milk (2L) to your cart — you'll find them in Aisle 1!,True,True,False,[],908.155
2,presearch,direct,Do you have cheddar cheese?,cheese,cheddar cheese,move,[1],I'm adding cheddar cheese to your cart — you'll find it in Aisle 1!,True,True,False,[],139.976
3,presearch,direct,I need some apples please,apple,apple,move,"[3, 4]","I'm adding Apple (Aisle 3) to your cart. Also, I've got Apple Juice (Aisle 4).",True,True,False,[],144.709
4,presearch,direct,Can I get a loaf of white bread?,bread,white bread,move,[2],I'm adding White Bread (Aisle 2) to your cart.,True,True,False,[],134.155
5,presearch,direct,I would like some orange juice,juice,orange juice,move,[4],I'm adding Orange Juice (Aisle 4) to your cart.,True,True,False,[],136.399
6,presearch,direct,Where are the potato chips?,chips,potato chips,move,[5],I'm adding Potato Chips to your cart — you'll find them in Aisle 5!,True,True,False,[],140.888
7,presearch,direct,Can you help me find bottled water?,water,bottled water,move,[4],I'm adding Bottled Water (Aisle 4) to your cart.,True,True,False,[],135.792
8,presearch,direct,I need a banana,banana,banana,move,[3],I'm adding Banana to your cart — you'll find it in Aisle 3!,True,True,False,[],136.618
9,presearch,direct,Do you sell croissants?,croissant,croissant,move,[2],I'm adding Croissants to your cart — you'll find them in Aisle 2!,True,True,False,[],137.058
10,presearch,direct,I am looking for plain yogurt,yogurt,plain yogurt,move,[1],I'm adding Plain Yogurt (Aisle 1) to your cart — you'll find it in Aisle 1!,True,True,False,[],142.436
11,presearch,recipe,"I want to bake a birthday cake, what do I need?",flour; eggs; sugar; butter; milk,flour; eggs; sugar; butter; baking powder; milk,move,[1],I'm happy to help you bake a birthday cake! Let me add some Milk (1L) and Milk (2L) to your cart — you'll find them in A,True,True,False,[],170.618
12,presearch,recipe,I need ingredients to make a salad,lettuce; tomato; carrot,lettuce; tomato; cucumber; carrot; dressing,move,[3],"I'm helping you make a salad! I'm adding Lettuce (Aisle 3) and Tomato (Aisle 3) to your cart. Unfortunately, we do not c",True,True,False,[],173.807
13,presearch,recipe,Can you help me find everything I need for a fruit smoothie?,banana; apple; orange; yogurt,,move,['Aisle 4'],"Certainly! Let's start with fresh fruits. You can find them in Aisle 4. For your smoothie, you might want some bananas, ",True,True,False,[],190.636
