id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find the Milk (1L) in **Aisle 1**.,True,1,True,1,False,0,[],14.348
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],57.674
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],The 1-liter milk is in our dairy section—just head to Aisle 1! Let me know if you'd like help finding anything else.,True,1,True,1,False,0,[],0.981
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],Yes! We have Large Eggs (12ct) available in **Aisle 1**.,True,1,True,1,False,0,[],1.73
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],Yes! We have **Large Eggs (12ct)** available—you’ll find them in **Aisle 1**.,True,1,True,1,False,0,[],2.445
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],Yes! We have Large Eggs (12-count) right here in stock. They're priced at $3.80 and located in Aisle 1 under the dairy s,True,1,True,1,False,0,[],0.966
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],You’ll find the Whole Wheat Wraps in **Aisle 2**—we have 9 in stock!,True,1,True,1,False,0,[],1.599
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I found the Whole Wheat Wraps in **Aisle 2**. Would you like help with anything else?,True,1,True,1,False,0,[],3.279
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],"Whole Wheat Wraps are right here in our bakery section! They’re in Aisle 2, next to the wheat bread and wraps.",True,1,True,1,False,0,[],0.88
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],You can find the Black Beans (Can) in Aisle 6—we have 24 in stock for $1.60 each!,True,1,True,1,False,0,[],2.136
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],We have Black Beans (Can) available—just head to **Aisle 6**!,True,1,True,1,False,0,[],1.981
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],"Great choice! We have black beans in stock. You’ll find them in Aisle 6, under the pantry section.",True,1,True,1,False,0,[],0.811
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Absolutely! We have **Frozen Pizza** available—it’s in **Aisle 7** for $6.80, and we have 11 in stock.",True,1,True,1,False,0,[],1.505
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],Yes! We have Frozen Pizza available in **Aisle 7**. Would you like any sides like Frozen Fries or Chicken Nuggets?,True,1,True,1,False,0,[],2.055
